OBJECTID,Transect,Elevation,UTM_X,UTM_Y,Date,Time
17074,C02T1,334,422619.9528,4834464.03,5/6/2019,9:19:00
17075,C02T1,347,422620.1308,4834465.472,5/6/2019,9:19:00
17076,C02T1,342,422618.6206,4834467.378,5/6/2019,9:20:00
17077,C02T1,346,422617.9142,4834469.052,5/6/2019,9:22:00
17078,C02T1,355,422617.9334,4834470.718,5/6/2019,9:23:00
17079,C02T1,349,422613.5469,4834460.994,5/6/2019,9:24:00
17080,C02T1,347,422633.2319,4834440.773,5/6/2019,9:25:00
17081,C02T1,345,422632.9682,4834438.887,5/6/2019,9:27:00
17082,C02T1,346,422647.2229,4834423.283,5/6/2019,9:28:00
17083,C02T1,351.12,422676.6267,4834371.737,5/6/2019,9:28:00
17084,C02T1,351,422676.7201,4834372.846,5/6/2019,9:28:00
17085,C02T1,351,422681.0025,4834366.577,5/6/2019,9:28:00
17086,C02T1,351,422730.2544,4834378.671,5/6/2019,9:29:00
17087,C02T1,356,422792.7629,4834365.508,5/6/2019,9:30:00
17088,C02T1,365,422839.0516,4834372.417,5/6/2019,9:31:00
17089,C02T1,371,422867.3256,4834334.658,5/6/2019,9:32:00
17090,C02T1,377,422897.6376,4834277.77,5/6/2019,9:33:00
17091,C02T1,381,422956.0532,4834245.219,5/6/2019,9:34:00
17092,C02T1,384,422976.0041,4834184.897,5/6/2019,9:35:00
17093,C02T1,390,423012.8599,4834170.921,5/6/2019,9:36:00
17094,C02T1,384.44,423018.5865,4834163.969,5/6/2019,9:37:00
17095,C02T1,385,423017.1401,4834164.429,5/6/2019,9:37:00
16930,C02T2,382.35,423218.0042,4832988.045,5/6/2019,6:49:00
16931,C02T2,384,423217.4384,4832987.94,5/6/2019,6:49:00
16932,C02T2,383,423217.6048,4832988.382,5/6/2019,6:49:00
16933,C02T2,385,423235.3189,4832978.627,5/6/2019,6:50:00
16934,C02T2,382,423233.2844,4832984.093,5/6/2019,6:51:00
16935,C02T2,374,423228.0527,4832978.044,5/6/2019,6:53:00
16936,C02T2,372,423234.4674,4832981.747,5/6/2019,6:55:00
16937,C02T2,406,423242.2904,4832981.657,5/6/2019,6:56:00
16938,C02T2,411,423237.6917,4832988.596,5/6/2019,6:57:00
16939,C02T2,417,423230.3968,4833020.67,5/6/2019,6:58:00
16940,C02T2,425,423242.3384,4833035.084,5/6/2019,6:59:00
16941,C02T2,419.95,423286.3813,4833063.459,5/6/2019,6:59:00
16942,C02T2,419,423286.3134,4833064.571,5/6/2019,6:59:00
16943,C02T2,422,423291.9379,4833069.727,5/6/2019,7:00:00
16944,C02T2,417,423313.4542,4833075.034,5/6/2019,7:01:00
16945,C02T2,425,423326.7055,4833084.102,5/6/2019,7:02:00
16946,C02T2,412,423341.2337,4833084.935,5/6/2019,7:03:00
16947,C02T2,404,423357.4639,4833093.524,5/6/2019,7:03:00
16948,C02T2,410,423373.3822,4833096.008,5/6/2019,7:04:00
16949,C02T2,413,423372.5218,4833098.35,5/6/2019,7:07:00
16950,C02T2,405,423391.0345,4833137.237,5/6/2019,7:08:00
16951,C02T2,392.78,423426.1896,4833178.488,5/6/2019,7:09:00
16952,C02T2,394,423425.3894,4833179.053,5/6/2019,7:09:00
16953,C02T2,394,423425.3894,4833179.053,5/6/2019,7:09:00
16954,C02T2,393,423461.6033,4833200.076,5/6/2019,7:10:00
16955,C02T2,395,423485.0202,4833216.47,5/6/2019,7:11:00
16956,C02T2,390,423532.8204,4833220.922,5/6/2019,7:12:00
16957,C02T2,395,423581.8987,4833231.358,5/6/2019,7:13:00
16958,C02T2,394,423616.4577,4833220.523,5/6/2019,7:14:00
16959,C02T2,397,423669.3647,4833220.141,5/6/2019,7:15:00
16960,C02T2,398,423717.5893,4833198.154,5/6/2019,7:16:00
16961,C02T2,404,423727.9789,4833196.814,5/6/2019,7:17:00
16962,C02T2,403,423755.8496,4833214.824,5/6/2019,7:18:00
16963,C02T2,400,423773.0505,4833223.736,5/6/2019,7:19:00
16964,C02T2,401.14,423783.2639,4833228.174,5/6/2019,7:19:00
16965,C02T2,400,423782.2987,4833228.407,5/6/2019,7:19:00
16966,C02T2,391,423782.4625,4833228.627,5/6/2019,7:20:00
16967,C02T2,393,423784.2253,4833227.608,5/6/2019,7:24:00
16968,C02T2,387,423830.2009,4833241.857,5/6/2019,7:25:00
16969,C02T2,390,423871.3255,4833233.836,5/6/2019,7:26:00
16970,C02T2,387,423883.5181,4833227.922,5/6/2019,7:27:00
16971,C02T2,374,423886.4857,4833226.444,5/6/2019,7:29:00
16972,C02T2,376.1,423912.9552,4833213.481,5/6/2019,7:29:00
16973,C02T2,377,423912.4852,4833214.708,5/6/2019,7:29:00
16974,C02T2,380,423935.4129,4833209.449,5/6/2019,7:30:00
16975,C02T2,384,423968.4389,4833191.412,5/6/2019,7:31:00
16976,C02T2,386,423998.9753,4833195.62,5/6/2019,7:32:00
16977,C02T2,379,424003.1929,4833197.682,5/6/2019,7:33:00
16978,C02T2,379,424031.9513,4833215.795,5/6/2019,7:34:00
16979,C02T2,381,424098.6034,4833232.588,5/6/2019,7:35:00
16980,C02T2,390,424137.853,4833251.249,5/6/2019,7:36:00
16981,C02T2,397,424171.3452,4833252.98,5/6/2019,7:37:00
16982,C02T2,377,424230.1985,4833243.538,5/6/2019,7:38:00
16983,C02T2,381,424253.8948,4833242.048,5/6/2019,7:39:00
16984,C02T2,382.35,424280.1427,4833245.083,5/6/2019,7:39:00
16985,C02T2,382,424280.2347,4833246.082,5/6/2019,7:39:00
16986,C02T2,381,424291.6513,4833242.843,5/6/2019,7:40:00
16987,C02T2,377,424302.152,4833237.059,5/6/2019,7:41:00
16988,C02T2,376,424325.461,4833215.58,5/6/2019,7:42:00
16989,C02T2,374,424342.0084,4833195.288,5/6/2019,7:43:00
16990,C02T2,375,424386.0421,4833187.682,5/6/2019,7:44:00
16991,C02T2,376,424438.7023,4833208.303,5/6/2019,7:45:00
16992,C02T2,379,424456.6783,4833221.651,5/6/2019,7:46:00
16993,C02T2,359,424500.0498,4833241.155,5/6/2019,7:47:00
16994,C02T2,357,424532.6586,4833278.998,5/6/2019,7:48:00
16995,C02T2,341,424577.1262,4833309.931,5/6/2019,7:49:00
16996,C02T2,338.65,424601.3583,4833334.539,5/6/2019,7:49:00
16997,C02T2,339,424600.0779,4833335.442,5/6/2019,7:49:00
16998,C02T2,338,424616.7635,4833341.696,5/6/2019,7:50:00
16999,C02T2,329,424639.8249,4833362.652,5/6/2019,7:51:00
17000,C02T2,330,424584.2094,4833322.958,5/6/2019,7:52:00
17001,C02T2,340,424539.5879,4833278.364,5/6/2019,7:53:00
17002,C02T2,346,424498.93,4833234.837,5/6/2019,7:54:00
17003,C02T2,352,424469.1459,4833218.622,5/6/2019,7:55:00
17004,C02T2,355,424412.919,4833189.267,5/6/2019,7:56:00
